channels_name;country;city;watch_count
"Sanyuka TV";KE;"Athi River";36
"NBS Live";DK;;35
"NBS Plus";AE;"Abu Dhabi";35
"Bukedde 1";UG;;35
"NBS TV";GB;Liverpool;34
"NBS TV";IT;;34
"NBS TV";GB;Hungerford;34
"NBS TV";SE;Stockholm;34
"NBS TV";BE;Brussels;34
"NBS Live";KE;;34
"Bukedde 1";AE;Dubai;34
"NBS Sport";UG;;33
"UBC TV";ZA;Johannesburg;33
"NBS Live";AE;Sharjah;33
"Next Radio 106.1";AE;"Abu Dhabi";33
"BaBa TV";QA;Doha;33
"Sanyuka TV";US;Piscataway;33
"NBS Live";AE;;33
"Al Jazeera English";DE;"Frankfurt am Main";33
"Block FM 103.2";UG;Kampala;33
"Salam TV";AE;Dubai;32
"NBS TV";US;"West Chester";32
"NBS TV";US;Piscataway;32
"NBS TV";NL;;32
"NBS TV";NL;Naaldwijk;32
"Sanyuka TV";SE;Gothenburg;32
"UBC TV";UG;;31
"NBS Live";HU;Budapest;31
"NBS TV";GB;Ilford;31
"NBS TV";RW;;31
"BaBa TV";AE;Dubai;31
"NBS TV";CA;;31
"Sanyuka TV";RW;Kigali;31
"Sanyuka TV";TR;Istanbul;31
"NBS TV";GB;"City of London";31
"NBS TV";IT;Milan;31
"NBS Live";GB;London;31
"NBS Live";DE;"Limburg an der Lahn";31
"NBS TV";IN;Rajkot;30
"NBS Live";TZ;"Dar es Salaam";30
XFM;UG;Kampala;30
"NBS TV";GB;Glasgow;29
"NBS Plus";GB;London;29
"NBS TV";GB;Enfield;29
"NBS TV";US;Puyallup;29
"NBS TV";UG;Masaka;29
ACW UG TV;UG;Kampala;29
AfroFlix;AE;Dubai;28
"Next Radio 106.1";DE;"Frankfurt am Main";28
"NBS TV";US;Waukegan;28
"NBS TV";CD;;28
"NBS TV";US;Brooklyn;28
"NBS Plus";UG;;28
"NBS Live";NL;Amsterdam;28
"NBS TV";US;Dallas;28
"Sanyuka TV";TH;"Hua Hin";28
"NBS TV";ZA;Isando;28
"NBS TV";GB;Croydon;27
"Al Jazeera English";FR;Lauterbourg;27
"NBS Sport";AE;Dubai;27
"Sanyuka TV";GB;;27
"NBS Live";KW;"Kuwait City";27
"NBS TV";VN;Hanoi;27
"UBC TV";DE;"Frankfurt am Main";26
"NBS Live";IE;Dublin;26
"NBS TV";CA;Oshawa;26
"NBS Live";FR;Paris;26
"NBS Plus";DK;Viborg;26
"NBS TV";GB;Wellingborough;26
"NBS TV";GB;Gosport;26
"NBS Plus";AE;"Ras al-Khaimah";26
"Al Jazeera English";KE;Nairobi;26
"NBS Live";GB;Bradford;26
"Next Radio Visual";UG;;26
"NBS Live";BW;Gaborone;26
"NBS TV";ZW;Harare;26
"Sanyu FM";UG;Kampala;26
RTV;UG;Kampala;26
"Next Radio 106.1";FR;Lauterbourg;25
"Al Jazeera English";AE;"Abu Dhabi";25
"UBC TV";RW;Kigali;25
"Sanyuka TV";NL;Amsterdam;25
"Sanyuka TV";;;25
"NBS TV";US;Riverside;25
"Sanyuka TV";SE;Stockholm;25
"NBS TV";CD;Lubumbashi;25
"NUP Radio 91.4";FR;;25
"Next Radio 106.1";ZA;;25
"Channel 303 FM";UG;Kampala;25
"NBS TV";CA;Brampton;24
"NBS TV";US;Boston;24
"NBS TV";HK;;24
"NBS TV";US;"North Hills";24
"Sanyuka TV";GB;Southwark;24
"NBS TV";GB;Andover;24
"NBS Live";NO;;24
"Spade Television";UG;Kampala;24
"Janan Schools TV";UG;Kampala;23
"RT International";GB;Hackney;23
"NBS TV";GB;"Forest Hill";23
"NBS Live";ZM;Lusaka;23
"NBS TV";US;Bakersfield;23
"NBS TV";TH;Bangkok;23
"Sanyuka TV";SA;Medina;23
"NBS TV";GB;Sutton;23
"NBS TV";AE;"Umm al Qaywayn";23
"NBS Live";CD;Kinshasa;23
"NBS TV";US;Phoenix;23
"NBS Live";FR;Lauterbourg;23
"NBS TV";UG;Mityana;23
"NBS TV";US;Hillsboro;23
Makkah;UG;Kampala;23
"BTN Rwanda";UG;Kampala;22
"NBS TV";TR;Selçuklu;22
"NBS TV";AU;Melbourne;22
U24;AE;Dubai;22
"Sanyuka TV";TZ;"Dar es Salaam";22
"NBS Sport";GB;Kensington;22
DW;FR;Lauterbourg;22
XFM;ZA;;22
"CBS FM";US;"Santa Rosa";22
"NBS Live";GB;Liverpool;21
"Al Jazeera English";;;21
"NBS TV";CD;Kinshasa;21
"Sanyuka TV";SA;Jeddah;21
"Magic 1";AE;Dubai;21
"NBS TV";US;Beltsville;21
"NBS TV";US;Ashburn;21
"NBS Live";CA;Ottawa;21
"RADIO ONE FM";UG;Kampala;21
"NBS Live";ET;"Addis Ababa";20
"Al Jazeera English";ZA;Johannesburg;20
"Galaxy TV";AE;"Abu Dhabi";20
"NBS Live";GB;;20
"UBC TV";AE;Sharjah;20
"NBS TV";DE;Pfarrkirchen;20
"NBS Live";NL;;20
"NBS Plus";AE;Sharjah;20
"NBS TV";ZA;Boksburg;20
"NBS Live";AE;"Ras al-Khaimah";20
"Manifest Television";FR;Lauterbourg;20
"Bukedde 1";SA;Ta'if;20
"TV10 Rwanda";UG;Kampala;20
"Radio Walla";FR;Paris;20
"UBC TV";FR;Paris;19
"NBS TV";ZA;Pretoria;19
"NBS Live";NO;Oslo;19
"NBS TV";US;Athens;19
"Sanyuka TV";ZA;;19
"NBS Live";SS;Malakal;19
"NBS Live";OM;Muscat;19
"NBS TV";GB;Wirral;19
"Sanyuka TV";CA;Toronto;19
"NBS TV";US;Woburn;19
"NBS TV";BG;;19
"RT International";CD;;19
"UBC TV";SO;Mogadishu;18
"UBC TV";SS;;18
"NBS TV";ZA;"Cape Town";18
"NBS TV";SA;Dammam;18
"NUP Radio 91.4";AE;Dubai;18
"NBS TV";SN;Dakar;18
"NBS Live";LS;;18
"UBC TV";;;18
"NBS TV";US;Worcester;18
"NBS Live";BE;Ghent;18
"NBS TV";IM;Douglas;18
"NBS Live";SA;Jeddah;18
"NBS TV";DE;Düsseldorf;18
"NBS Live";ES;Madrid;18
"NBS TV";US;Dracut;18
"NBS Plus";DE;;18
"B Plus Rwanda";UG;Kampala;18
"NBS Sport";UG;Masaka;18
"RT International";FR;;18
"UBC TV";HU;Budapest;17
"NBS Live";DK;Viborg;17
"Next Radio Visual";AE;"Abu Dhabi";17
"Magic 1";UG;;17
"NBS Live";NL;Groningen;17
"Block FM 103.2";AE;"Abu Dhabi";17
"UBC TV";DE;Berlin;17
"NBS TV";GB;Kensington;17
"UBC TV";ES;Madrid;17
"UBC TV";US;"Los Angeles";17
"NBS Live";;;17
"NBS TV";GB;Pontypridd;17
"Sanyuka TV";TR;Selçuklu;17
"UBC TV";BH;Manama;17
"NBS TV";GB;Lambeth;17
"NBS TV";SE;Alingsås;17
"RT International";AE;Dubai;17
"NBS TV";GB;Coventry;17
"NBS TV";DE;Weißenfels;17
"NBS TV";NL;Haarlem;17
"NBS Sport";GB;Walthamstow;17
